Country,Code,CumCase,CumDeath
Afghanistan,AFG,3224,95
Albania,ALB,803,31
Algeria,DZA,4648,465
Andorra,AND,751,45
Angola,AGO,35,2
Anguilla,AIA,3,0
Antigua and Barbuda,ATG,25,3
Argentina,ARG,4799,250
Armenia,ARM,2619,40
Aruba,ABW,100,2
Australia,AUS,6825,95
Austria,AUT,15621,600
Azerbaijan,AZE,1984,26
Bahamas,BHS,83,11
Bahrain,BHR,3679,8
Bangladesh,BGD,10929,183
Barbados,BRB,82,7
Belarus,BLR,17489,103
Belgium,BEL,50267,7924
Belize,BLZ,18,2
Benin,BEN,96,2
Bermuda,BMU,115,7
Bhutan,BTN,7,0
Bolivia (Plurinational State of),BOL,1594,76
"Bonaire, Sint Eustatius and Saba",BES,6,0
Bosnia and Herzegovina,BIH,1926,77
Botswana,BWA,23,1
Brazil,BRA,101147,7025
British Virgin Islands,VGB,6,1
Brunei Darussalam,BRN,138,1
Bulgaria,BGR,1652,78
Burkina Faso,BFA,672,46
Burundi,BDI,19,1
Cabo Verde,CPV,165,2
Cambodia,KHM,122,0
Cameroon,CMR,2077,64
Canada,CAN,59844,3766
Cayman Islands,CYM,74,1
Central African Republic,CAF,94,0
Chad,TCD,117,10
Chile,CHL,20643,270
China,CHN,84404,4643
Colombia,COL,7668,340
Comoros,COM,4,1
Congo,COG,236,10
Costa Rica,CRI,739,6
Croatia,HRV,2101,80
Cuba,CUB,1668,69
Curaçao,CUW,16,1
Cyprus,CYP,874,20
Czechia,CZE,7819,252
Côte d’Ivoire,CIV,1432,17
Democratic Republic of the Congo,COD,682,34
Denmark,DNK,9670,493
Djibouti,DJI,1120,2
Dominica,DMA,16,0
Dominican Republic,DOM,8235,346
Ecuador,ECU,31881,1569
Egypt,EGY,7201,452
El Salvador,SLV,555,12
Equatorial Guinea,GNQ,315,2
Eritrea,ERI,39,0
Estonia,EST,1703,55
Eswatini,SWZ,116,1
Ethiopia,ETH,140,3
Falkland Islands (Malvinas),FLK,13,0
Faroe Islands,FRO,187,0
Fiji,FJI,18,0
Finland,FIN,5327,240
France,FRA,130242,25165
French Guiana,GUF,133,1
French Polynesia,PYF,58,0
Gabon,GAB,367,6
Gambia,GMB,17,1
Georgia,GEO,604,9
Germany,DEU,163860,6831
Ghana,GHA,2719,18
Gibraltar,GIB,144,0
Greece,GRC,2632,146
Greenland,GRL,11,0
Grenada,GRD,21,0
Guadeloupe,GLP,152,12
Guam,GUM,145,5
Guatemala,GTM,703,19
Guernsey,GGY,252,13
Guinea,GIN,1710,9
Guinea-Bissau,GNB,292,2
Guyana,GUY,82,9
Haiti,HTI,88,9
Holy See,VAT,11,0
Honduras,HND,1055,82
Hungary,HUN,3065,363
Iceland,ISL,1799,10
India,IND,46433,1568
Indonesia,IDN,12071,872
Iran (Islamic Republic of),IRN,99970,6340
Iraq,IRQ,2346,98
Ireland,IRL,21722,1319
Isle of Man,IMN,321,23
Israel,ISR,16237,234
Italy,ITA,211938,29079
Jamaica,JAM,469,9
Japan,JPN,15231,521
Jersey,JEY,292,24
Jordan,JOR,471,9
Kazakhstan,KAZ,4160,29
Kenya,KEN,490,24
Kosovo[1],XKX,855,27
Kuwait,KWT,5804,40
Kyrgyzstan,KGZ,843,10
Lao People's Democratic Republic,LAO,19,0
Latvia,LVA,896,16
Lebanon,LBN,741,25
Liberia,LBR,166,18
